operation_date;purpose;amount
30.09.2025;оплата по договору 24/2209 від 12.12.24 р. за металопродукцію. в т. ч. ПДВ 20 % - 3 450 000.00 грн.;20700000
30.09.2025;оплата по дог. 24/2025 від 12.12.24 р. за металопродукцію. в т. ч. ПДВ 20 % - 916 666.67 грн.;5500000
29.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
29.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
29.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
29.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
29.09.2025;101.Податок на прибуток за 9 місяців 2025 р;500000
26.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;800000
23.09.2025;оплата по дог. 24/2025 від 12.12.24 р. за металопродукцію. в т. ч. ПДВ 20 % - 104 833.33 грн.;629000
23.09.2025;Оплата зг. рах 201 від 23.09.25 за трубу . в т. ч. ПДВ 20 % - 232 169.35 грн.;1393016.09
23.09.2025;оплата по договору 24/2209 від 12.12.24 р. за металопродукцію. в т. ч. ПДВ 20 % - 312 333.33 грн.;1874000
23.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
23.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
23.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
23.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
23.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
23.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
23.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
23.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
23.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
23.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
23.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
23.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
22.09.2025;101.Поповнення ПДВ рахунку за cерпень 2025 р.;2540000
22.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
22.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
22.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
22.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
19.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
19.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
19.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
19.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;1400000
17.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;3000000
15.09.2025;оплата по договору 24/2209 від 12.12.24 р. за металопродукцію. в т. ч. ПДВ 20 % - 128 500.00 грн.;771000
15.09.2025;оплата по дог. 24/2025 від 12.12.24 р. за металопродукцію. в т. ч. ПДВ 20 % - 21 000.00 грн.;126000
12.09.2025;Оплата зг. рах 195 від 10.09.25 за трубу . в т. ч. ПДВ 20 % - 95 548.89 грн.;573293.37
11.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;5500000
10.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
10.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
10.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
10.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
10.09.2025;Оплата зг. рах 195 від 10.09.25 за трубу . в т. ч. ПДВ 20 % - 19 109.78 грн.;114658.67
08.09.2025;101.Поповнення ПДВ рахунку за серпень 2025 р.;2900000
08.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;4000000
05.09.2025;Оплата зг. рах 187 від 28.08.25 за трубу . в т. ч. ПДВ 20 % - 184 204.59 грн.;1105227.57
04.09.2025;оплата по дог. 24/2025 від 12.12.24 р. за металопродукцію. в т. ч. ПДВ 20 % - 1 168 842.32 грн.;7013053.91
04.09.2025;оплата по договору 24/2209 від 12.12.24 р. за металопродукцію. в т. ч. ПДВ 20 % - 1 382 547.42 грн.;8295284.51
04.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;4000000
04.09.2025;Оплата зг. рах 187 від 28.08.25 за трубу . в т. ч. ПДВ 20 % - 184 204.59 грн.;1105227.57
03.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;2500000
02.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;500000
02.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;2700000
01.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;500000
01.09.2025;Перерахування коштів на особистий рахунок. без ПДВ;4200000
28.08.2025;Оплата зг. рах 187 від 28.08.25 за трубу . в т. ч. ПДВ 20 % - 73 681.84 грн.;442091.03
28.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
28.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
28.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
27.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
27.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
26.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;400000
22.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;2000000
21.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;500000
20.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;1000000
20.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;10000000
19.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;500000
19.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
19.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
19.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
19.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
19.08.2025;Оплата зг. рах 172 від 18.08.25 за трубу . в т. ч. ПДВ 20 % - 226 103.68 грн.;1356622.09
19.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;700000
18.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;500000
18.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
18.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
18.08.2025;101.Поповнення ПДВ рахунку за липень 2025 р.;2860000
14.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
14.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
13.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
13.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
13.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
12.08.2025;Оплата зг. рах 163 від 06.08.25 за трубу . в т. ч. ПДВ 20 % - 192 871.68 грн.;1157230.07
11.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
11.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
11.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
11.08.2025;101.Податок на прибуток за 1 півріччя 2025 р;2657014
11.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;4600000
08.08.2025;101.Поповнення ПДВ рахунку за липень 2025 р.;2700000
07.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;5600000
07.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;700000
06.08.2025;Оплата зг. рах 163 від 06.08.25 за трубу . в т. ч. ПДВ 20 % - 38 574.33 грн.;231446.01
04.08.2025;Перерахування коштів на особистий рахунок. без ПДВ;6300000
31.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
31.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
31.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
31.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
29.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;600000
29.07.2025;101.Поповнення ПДВ рахунку за липень 2025 р.;2700000
28.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;17000000
24.07.2025;Оплата зг. рах 149 від 22.07.25 за трубу . в т. ч. ПДВ 20 % - 193 164.46 грн.;1158986.74
24.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;550000
23.07.2025;101.Поповнення ПДВ рахунку за червень 2025 р.;3182632
22.07.2025;Оплата зг. рах 149 від 22.07.25 за трубу . в т. ч. ПДВ 20 % - 38 632.89 грн.;231797.35
22.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;1400000
21.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;300000
21.07.2025;оплата по договору 24/2209 від 12.12.24 р. за металопродукцію. в т. ч. ПДВ 20 % - 3 533 333.33 грн.;21200000
21.07.2025;оплата по дог. 24/2025 від 12.12.24 р. за металопродукцію. в т. ч. ПДВ 20 % - 616 666.67 грн.;3700000
18.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;3000000
17.07.2025;Перерахування коштів на особистий рахунок.;35500000
16.07.2025;оплата за питну воду зг.рах.№370012444 д 16.07.2025.в т. ч. ПДВ 20 % - 125.00 грн.;750
15.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;300000
15.07.2025;101.Поповнення ПДВ рахунку за червень 2025 р.;1000000
15.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
15.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
10.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;500000
09.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
09.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
09.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;400000
09.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;1500000
08.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
08.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
08.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;700000
07.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;8700000
04.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;550000
04.07.2025;оплата по договору 24/2209 від 12.12.24 р. за металопродукцію. в т. ч. ПДВ 20 % - 550 000.00 грн.;3300000
04.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
04.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
04.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
04.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
03.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
03.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
03.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
03.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;49000
02.07.2025;Перерахування коштів на особистий рахунок. без ПДВ;1000000
